"region_id","SRR13404367","SRR13404368","SRR13404369","SRR13404370","SRR13404371","SRR13404372","SRR13404373","SRR13404374","SRR13404375","SRR13404376","SRR13404377","SRR13404378","SRR13404379","SRR13404380","SRR13404381","SRR13404382","SRR13404383","SRR13404384","SRR13404385","SRR13404386","SRR13404387","SRR13404388"
"chr21_14078821_14079137",1,0.95,NA,1,NA,1,NA,1,NA,NA,NA,1,NA,NA,0.875,NA,NA,1,NA,NA,NA,1
"chr21_14083965_14084535",NA,1,NA,NA,NA,NA,1,NA,NA,1,1,1,NA,0.9,NA,1,NA,1,NA,NA,1,NA
"chr21_14216119_14216587",NA,0,NA,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA
"chr21_14383051_14383765",NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0
"chr21_15729535_15730484",NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"chr21_17512489_17513793",NA,0,NA,0,0,0,NA,0,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,0,NA
"chr21_17818779_17819740",NA,NA,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,0.0909090909090909,NA,NA,0,NA,NA,0,NA,NA
"chr21_18244782_18245557",0.117647058823529,NA,0,0,0,NA,0,0,NA,0.333333333333333,0,0.0714285714285714,NA,0,NA,0,NA,0,NA,NA,NA,NA
"chr21_20997106_20998245",0.0769230769230769,0.105263157894737,NA,0,NA,NA,NA,0,0.166666666666667,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,0
"chr21_25361795_25362171",NA,NA,1,1,NA,0.909090909090909,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,0.944444444444444,1,1
"chr21_25562112_25562493",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA
"chr21_25607124_25607940",NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"chr21_25639423_25640086",NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0
"chr21_25734504_25735900",0,0,0,0,NA,NA,NA,NA,NA,0,NA,0,0,0,0,NA,0,NA,0,0,0,NA
"chr21_26169576_26170890",NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,1,0,0,NA,NA,0,NA,0,NA
"chr21_26572692_26573327",0,0,NA,0,0,0,NA,0,NA,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,NA
"chr21_26844334_26845798",0,NA,0,0,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,0,NA
"chr21_26846249_26846482",NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0
"chr21_26965538_26967918",0,0,NA,0,NA,0,0,0.111111111111111,0,0,0,NA,NA,0,0.0888888888888889,0.0740740740740741,0,NA,NA,0,0.4,0.0163934426229508
"chr21_27143484_27143987",NA,0.8,0.916666666666667,1,1,1,NA,1,NA,NA,NA,1,0.8,NA,NA,NA,NA,1,0.944444444444444,NA,1,NA
"chr21_28885104_28885359",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,NA,NA,NA,0,NA
"chr21_29002664_29002907",NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chr21_29018944_29019437",NA,0,0,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,0
"chr21_29024528_29025089",NA,NA,NA,NA,0,0.0588235294117647,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,0,NA,NA,NA,0
"chr21_29073255_29073934",NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0
"chr21_29939069_29939788",NA,0,0,0.214285714285714,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,0.125,NA
"chr21_31343730_31344170",NA,0,NA,0,NA,0.125,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA
"chr21_31557615_31559704",NA,0,0.307692307692308,0,0,0,0,0.0555555555555556,NA,NA,NA,0,0,NA,NA,0.0384615384615385,NA,0.0833333333333333,NA,NA,0,0
"chr21_31659422_31660344",NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,0,0
"chr21_31731144_31732662",NA,NA,NA,0,NA,NA,NA,0.02,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA
"chr21_31872598_31874296",NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0
"chr21_32278598_32279202",0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,0,NA,NA,NA
"chr21_32392705_32393443",0,0,0.285714285714286,NA,NA,NA,NA,0.0238095238095238,NA,0,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA
"chr21_32411607_32413409",NA,NA,NA,0,NA,0,0,0,0,NA,NA,0,NA,NA,NA,0,0,0,0.0833333333333333,NA,0.0833333333333333,0
"chr21_32569338_32569954",0,0,0,0,NA,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0
"chr21_32612058_32613140",NA,0,0,0,0,0,NA,0.0172413793103448,0,NA,0,0,0,0,NA,0,NA,0,NA,0,0,NA
"chr21_32727406_32728485",NA,NA,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,NA
"chr21_32978419_32978653",1,NA,0.833333333333333,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0.857142857142857,1,NA,NA,1,1,1,1,NA
"chr21_33019855_33020348",NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA
"chr21_33022821_33027937",0.024390243902439,0.0172413793103448,0.0833333333333333,0.0459770114942529,0.4,0,0.0144927536231884,0,0.115384615384615,0,0,0.660377358490566,0.181818181818182,0.268292682926829,0.0731707317073171,0.19047619047619,0,0,0.111111111111111,0.105263157894737,0.0617283950617284,NA
"chr21_33033270_33034230",NA,NA,1,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0.636363636363636,0.791666666666667,NA,NA,1,0,NA
"chr21_33069901_33072237",0,0,0,0,NA,NA,0,0,0,0,NA,0,0.0344827586206897,NA,NA,0,NA,0,NA,0,0,NA
"chr21_33229937_33230960",0,0,0,NA,NA,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0.133333333333333,0,0,NA
"chr21_33266211_33266770",NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
"chr21_33324228_33325445",0,0,0,0,1,NA,NA,0,NA,NA,0,0,NA,0,0,NA,NA,0.0384615384615385,NA,0,NA,0
"chr21_33541998_33543376",0,0,NA,0,NA,0,NA,0,0,NA,NA,NA,0,NA,0,0,NA,NA,0,0,0,0
"chr21_33588083_33588946",NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
"chr21_33641571_33641951",NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"chr21_33642533_33643378",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,0,0
"chr21_34072788_34074105",0,NA,NA,NA,NA,NA,NA,NA,0,0.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"chr21_34202023_34202248",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA
"chr21_34669007_34670925",0.0588235294117647,NA,NA,0.272727272727273,0.0909090909090909,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA
"chr21_34791848_34792637",NA,1,1,0.954545454545455,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA
"chr21_34886656_34887175",NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA
"chr21_34888154_34891390",NA,0,0,0,0.2,0,NA,0,NA,0.0508474576271186,0.024390243902439,0.28,0,0,0.111111111111111,0.171428571428571,NA,0,NA,0,0.354166666666667,0.0952380952380952
"chr21_35026664_35026962",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA
"chr21_35886894_35887304",0.375,0.857142857142857,NA,NA,NA,NA,NA,0.666666666666667,NA,0.96551724137931,1,0.857142857142857,NA,NA,NA,0.91304347826087,0.958333333333333,NA,0.96,0.933333333333333,1,0.956521739130435
"chr21_36059826_36060852",0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,0.0666666666666667,0
"chr21_36069843_36070480",NA,NA,NA,NA,NA,0,NA,0,NA,NA,0.32,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"chr21_36130148_36130528",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"chr21_36134901_36135961",NA,0,0,0,0,NA,0,0,NA,0,0,0,0,NA,NA,0.05,0,0,NA,NA,0,NA
"chr21_36155908_36157552",NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,0,0,0,NA,NA,NA
"chr21_36245170_36245574",NA,NA,NA,NA,1,NA,1,0.95,1,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,1,1
"chr21_36319911_36320761",NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,0
"chr21_36385199_36385815",NA,NA,NA,NA,0,0,NA,NA,0,0.666666666666667,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0
"chr21_36692880_36693885",0.0833333333333333,0.0303030303030303,0,0.117647058823529,0,0,NA,NA,NA,NA,0.1,0.037037037037037,0.0909090909090909,NA,NA,0.181818181818182,0.04,0,0,0,NA,NA
"chr21_36695894_36701591",0.0847457627118644,0.2,0,0,0.0317460317460317,0.0136986301369863,0.113207547169811,0,0.0869565217391304,NA,0.024390243902439,0.105263157894737,0.102564102564103,0.36734693877551,0.0576923076923077,0.238095238095238,0.0166666666666667,0.048780487804878,0.275862068965517,0.352941176470588,0.0222222222222222,0.0576923076923077
"chr21_36704463_36705385",0.0277777777777778,NA,NA,NA,NA,0.115384615384615,0.0476190476190476,0,NA,0.0294117647058824,0,NA,0,NA,0,0.133333333333333,NA,NA,0,0,0,0
"chr21_36707642_36709533",0,NA,0,0,NA,NA,NA,0,NA,0,0,0,0,0,0.1,0,0,0,0.130434782608696,0.0909090909090909,NA,0
"chr21_36747493_36748441",NA,NA,NA,0.03125,NA,NA,0.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0277777777777778
"chr21_36980557_36980818",NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"chr21_36989846_36990568",NA,NA,NA,0.133333333333333,NA,NA,NA,0.394736842105263,0.291666666666667,NA,0.222222222222222,NA,0,NA,NA,NA,NA,NA,NA,NA,0.2,NA
"chr21_37005638_37007137",NA,0.444444444444444,0,0.419354838709677,NA,NA,NA,0.9,0,0,0.0357142857142857,NA,NA,NA,0.162162162162162,NA,0.142857142857143,0.529411764705882,0.909090909090909,NA,0.0833333333333333,NA
"chr21_37072561_37074197",NA,0,NA,NA,0.117647058823529,0,0,NA,0,0.0476190476190476,NA,NA,NA,1,NA,0,NA,0,0,NA,0,0
"chr21_37220687_37221373",0,NA,NA,0,NA,0,NA,0.0434782608695652,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,0,NA,NA
"chr21_37257752_37258206",0,0,0,0.0714285714285714,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,1,NA,NA,NA,NA
"chr21_37266935_37268190",0,0,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,NA
"chr21_37365925_37367925",0,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"chr21_37563553_37564244",NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.153846153846154,NA,NA,NA,NA,0.032258064516129,0
"chr21_37667475_37667692",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.785714285714286,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"chr21_37675325_37675626",1,0,NA,NA,0,NA,NA,NA,NA,NA,1,0,0,0,NA,NA,NA,NA,0.625,NA,1,NA
"chr21_37915644_37916964",NA,NA,NA,0.125,NA,0.0277777777777778,0,NA,0,NA,0.111111111111111,NA,0,0,0.176470588235294,NA,NA,0,0,0,NA,0
"chr21_38660320_38661741",0,0,0,0,0,0,NA,NA,NA,0.137931034482759,0,0,NA,NA,NA,0.0434782608695652,NA,0.117647058823529,NA,0,0,NA
"chr21_38805079_38806743",0,0,NA,NA,0,0,NA,NA,0.0425531914893617,NA,NA,0,NA,0,NA,0,0,NA,NA,0,NA,0
"chr21_38822721_38822925",NA,0.777777777777778,NA,0.888888888888889,NA,NA,1,NA,1,NA,NA,NA,0.75,0.923076923076923,NA,NA,1,NA,NA,NA,1,0.764705882352941
"chr21_39182839_39184191",0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,NA,NA,0,0,NA,0,0
"chr21_39312445_39314398",NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA
"chr21_39348260_39349699",0,0,0,NA,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"chr21_39380162_39380899",0,0,NA,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,0,0,0,NA,NA,NA,NA
"chr21_39385677_39385974",NA,NA,NA,0.941176470588235,0.714285714285714,NA,NA,NA,NA,0.388888888888889,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"chr21_39388701_39388903",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"chr21_39445377_39446047",NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA
"chr21_40144311_40144545",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.538461538461538,NA,NA,NA,NA,NA,1
"chr21_41167441_41168945",NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0.0588235294117647,NA,NA,NA,0
"chr21_41245891_41246093",NA,NA,NA,1,1,NA,1,NA,1,0.941176470588235,1,0.875,NA,NA,1,NA,1,1,NA,NA,NA,NA
"chr21_41304187_41304486",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"chr21_41316599_41317158",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0.285714285714286,NA,0,NA,0.1,0.0625,NA,NA,NA,NA
"chr21_41420367_41420777",NA,0,NA,NA,0,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chr21_41426220_41426957",NA,1,NA,0.5,0,NA,NA,0.05,NA,NA,NA,0,0,NA,0.0909090909090909,0,NA,NA,NA,NA,0,0
"chr21_41506825_41508747",NA,NA,0,NA,NA,0,NA,0.0357142857142857,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0
"chr21_41689190_41689527",1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,0.863636363636364,NA,NA,NA,1,1,NA,NA
"chr21_41740757_41741788",NA,0.857142857142857,NA,1,NA,0.95,NA,1,NA,0.944444444444444,NA,NA,1,1,1,1,NA,1,NA,NA,NA,1
"chr21_41756503_41756734",0.666666666666667,NA,0.95,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,0.909090909090909,NA,NA,1
"chr21_41766121_41767276",NA,NA,NA,0.027027027027027,0,0.0263157894736842,0,0,0.114285714285714,0,0.05,NA,NA,NA,NA,0.0862068965517241,0,NA,NA,NA,0.0967741935483871,0.121212121212121
"chr21_41778049_41778555",0.875,NA,0.5,NA,NA,NA,NA,NA,0.416666666666667,NA,NA,0.333333333333333,NA,NA,0,NA,NA,NA,0.333333333333333,0,0.25,0.142857142857143
"chr21_41801456_41801682",NA,NA,NA,NA,1,NA,0.863636363636364,NA,NA,NA,NA,NA,0.6,NA,NA,NA,NA,0.846153846153846,0.928571428571429,0.9,NA,NA
"chr21_41808939_41809152",1,NA,1,NA,NA,NA,1,NA,NA,0.979166666666667,NA,1,NA,1,NA,1,NA,0.166666666666667,NA,NA,NA,0.95
"chr21_41815670_41816154",NA,NA,NA,NA,NA,NA,1,NA,NA,0.971428571428571,1,0.833333333333333,NA,NA,NA,NA,NA,NA,NA,NA,0.846153846153846,NA
"chr21_41819996_41820230",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,0.875,1,1,NA,NA,NA
"chr21_41821882_41822112",1,0.714285714285714,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,1,0.777777777777778,NA,1,0.666666666666667,NA,NA,NA
"chr21_41835368_41835613",NA,1,1,NA,NA,NA,NA,NA,0.956521739130435,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,0.9
"chr21_41854517_41854804",NA,NA,NA,0.857142857142857,NA,NA,0.875,NA,NA,NA,0.933333333333333,NA,NA,1,NA,0.95,NA,NA,0.8,NA,NA,1
"chr21_41878502_41879792",NA,0,NA,NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA
"chr21_41907626_41907915",0.8,1,NA,1,NA,NA,1,NA,NA,NA,0.923076923076923,1,0.833333333333333,NA,NA,NA,NA,NA,1,NA,NA,NA
"chr21_41953027_41954280",0,NA,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"chr21_42009171_42011380",0,0,0,0.0434782608695652,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0
"chr21_42106461_42106707",0.5,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA
"chr21_42127762_42127979",NA,NA,0.615384615384615,NA,NA,0.954545454545455,1,1,NA,NA,NA,NA,NA,1,0.909090909090909,NA,NA,NA,NA,NA,NA,1
"chr21_42218839_42220022",NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
"chr21_42234737_42235355",NA,0.2,NA,0.441176470588235,0,0,0,0.714285714285714,NA,NA,NA,NA,NA,NA,NA,0.894736842105263,NA,NA,0.210526315789474,NA,1,NA
"chr21_42305766_42306206",NA,NA,1,0.75,NA,0.714285714285714,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,1
"chr21_42496169_42496790",NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"chr21_42513480_42514722",NA,0,NA,0,0,NA,NA,0,NA,0,0.032258064516129,NA,NA,0,0.0526315789473684,NA,NA,NA,NA,NA,0,0
"chr21_42587366_42590371",NA,1,1,NA,1,0.5,0.625,NA,NA,1,NA,NA,NA,NA,NA,0.777777777777778,NA,1,NA,1,NA,1
"chr21_42617167_42617368",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA
"chr21_42653092_42653446",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chr21_42653760_42654540",NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,NA,0,NA,NA,0
"chr21_42668713_42668919",NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,0.75,1,NA,NA,NA,NA
"chr21_42686059_42686436",1,NA,NA,1,NA,NA,NA,1,NA,1,NA,0.944444444444444,NA,NA,1,NA,0.95,0.961538461538462,0.875,1,NA,1
"chr21_42837857_42838189",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,0.9,NA,0.857142857142857,NA,NA
"chr21_42848293_42849194",NA,1,1,NA,NA,NA,1,NA,1,NA,1,NA,1,0.952380952380952,1,0.901960784313726,NA,NA,NA,NA,NA,1
"chr21_42879002_42879698",NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,0,NA
"chr21_42892804_42893750",0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,NA
"chr21_42973975_42975740",0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,0
"chr21_43095153_43095450",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"chr21_43172610_43173533",NA,NA,NA,NA,NA,NA,0.538461538461538,NA,NA,NA,NA,0.142857142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chr21_43298706_43299274",NA,NA,1,1,NA,1,NA,1,NA,0.95,1,NA,1,1,1,NA,NA,1,1,1,0.96875,NA
"chr21_43301104_43301332",NA,NA,NA,1,NA,NA,NA,0.9375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1
"chr21_43362369_43362721",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
