"tile_id","SRR13404367","SRR13404368","SRR13404369","SRR13404370","SRR13404371","SRR13404372","SRR13404373","SRR13404374","SRR13404375","SRR13404376","SRR13404377","SRR13404378","SRR13404379","SRR13404380","SRR13404381","SRR13404382","SRR13404383","SRR13404384","SRR13404385","SRR13404386","SRR13404387","SRR13404388"
"chr21_5210001_5220000",0.32,0.307692307692308,0.32,0.272727272727273,0.333333333333333,0.333333333333333,0.375,0.352941176470588,0.5,NA,0.4375,0.3125,0.545454545454545,0.434782608695652,0.619047619047619,0.4,0.428571428571429,0.470588235294118,0.111111111111111,0.666666666666667,0.363636363636364,0.3
"chr21_5215001_5225000",0.585714285714286,0.454545454545455,0.53763440860215,0.424242424242424,0.481481481481481,0.5,0.45945945945946,0.46,0.529411764705882,0.540540540540541,0.607142857142857,0.448275862068966,0.421052631578947,0.625,0.618181818181818,0.604651162790698,0.615384615384615,0.549019607843137,0.45,0.558823529411765,0.608695652173913,0.612244897959184
"chr21_5220001_5230000",0.648148148148148,0.483870967741935,0.578313253012048,0.371428571428571,0.475409836065574,0.530612244897959,0.439024390243902,0.522727272727273,0.5,0.428571428571429,0.633802816901408,0.518518518518518,0.307692307692308,0.615384615384615,0.531914893617021,0.538461538461538,0.761904761904762,0.481481481481481,0.534883720930233,0.552631578947368,0.69047619047619,0.555555555555556
"chr21_5225001_5235000",0.447368421052632,0.414634146341463,0.625,0.258064516129032,0.552631578947368,0.659574468085106,0.516129032258065,0.810810810810811,0.456521739130435,0.488888888888889,0.6,0.739130434782609,0.291666666666667,0.458333333333333,0.272727272727273,0.425531914893617,0.454545454545455,0.549019607843137,0.393939393939394,0.7,0.647058823529412,0.474576271186441
"chr21_5230001_5240000",0.549019607843137,0.588235294117647,0.534883720930233,0.333333333333333,0.583333333333333,0.688888888888889,0.636363636363636,0.84375,0.541666666666667,0.685185185185185,0.592592592592593,0.740740740740741,0.608695652173913,0.48936170212766,0.387096774193548,0.62,0.548387096774194,0.666666666666667,0.53125,0.592592592592593,0.769230769230769,0.625
"chr21_5235001_5245000",0.591836734693878,0.641025641025641,0.395348837209302,0.444444444444444,0.545454545454545,0.451612903225806,0.666666666666667,0.625,0.681818181818182,0.647058823529412,0.404255319148936,0.605263157894737,0.692307692307692,0.522727272727273,0.527777777777778,0.652173913043478,0.6,0.65,0.772727272727273,0.588235294117647,0.71875,0.686274509803922
"chr21_5240001_5250000",0.652173913043478,0.625,0.578947368421053,0.516129032258065,0.620689655172414,0.516129032258065,0.71875,0.769230769230769,0.615384615384615,0.557692307692308,0.478260869565217,0.586206896551724,0.727272727272727,0.51219512195122,0.468085106382979,0.605263157894737,0.551724137931034,0.689655172413793,0.565217391304348,0.64,0.46875,0.708333333333333
"chr21_5245001_5255000",0.604651162790698,0.739130434782609,0.68,0.384615384615385,0.583333333333333,0.68,0.810810810810811,0.827586206896552,0.615384615384615,0.433333333333333,0.5625,0.533333333333333,0.696969696969697,0.5,0.5,0.64,0.428571428571429,0.631578947368421,0.451612903225806,0.333333333333333,0.5,0.68421052631579
"chr21_5250001_5260000",0.434782608695652,0.785714285714286,0.615384615384615,0,0,0.636363636363636,0.941176470588235,0.625,0.666666666666667,0,0.5625,0.444444444444444,0.6,0.818181818181818,0.722222222222222,0.545454545454545,0.384615384615385,0.444444444444444,0.571428571428571,0.555555555555556,0.642857142857143,0.571428571428571
"chr21_5255001_5265000",NA,NA,NA,NA,NA,0.444444444444444,NA,NA,NA,NA,NA,NA,NA,1,1,NA,0.25,NA,1,1,NA,NA
"chr21_5260001_5270000",0.4,0.333333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"chr21_5265001_5275000",0.666666666666667,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,NA,NA,NA
"chr21_5270001_5280000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA
"chr21_5275001_5285000",NA,0.5,NA,NA,NA,0.333333333333333,NA,NA,0.666666666666667,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA
"chr21_5280001_5290000",1,0.625,NA,NA,NA,0.4,NA,NA,0.666666666666667,0,0.75,NA,NA,1,NA,1,NA,NA,1,NA,0.6,NA
"chr21_5285001_5295000",1,0.615384615384615,0.666666666666667,0.888888888888889,0.777777777777778,0.6,0.7,0.846153846153846,0.7,0.8,0.714285714285714,0.842105263157895,1,0.714285714285714,0.666666666666667,0.692307692307692,0.714285714285714,0.761904761904762,0.7,NA,0.666666666666667,0.833333333333333
"chr21_5290001_5300000",0.921052631578947,0.555555555555556,0.7,0.692307692307692,0.8,0.595238095238095,0.666666666666667,0.842105263157895,0.529411764705882,0.785714285714286,0.538461538461538,0.65625,0.875,0.723404255319149,0.758620689655172,0.5,0.692307692307692,0.67741935483871,0.625,0.25,0.785714285714286,0.8
"chr21_5295001_5305000",0.821428571428571,0.6,0.761904761904762,0.4,0.857142857142857,0.6,NA,0.833333333333333,0.375,0.666666666666667,0.428571428571429,0.555555555555556,0.75,0.694444444444444,0.80952380952381,0.222222222222222,0.625,0.615384615384615,NA,0.25,0.818181818181818,0.666666666666667
"chr21_5300001_5310000",0.75,NA,1,NA,NA,0.666666666666667,0.75,NA,NA,NA,0.571428571428571,0.666666666666667,NA,0.444444444444444,0.666666666666667,NA,NA,0.444444444444444,NA,1,NA,NA
"chr21_5305001_5315000",0.764705882352941,0.166666666666667,1,NA,0.666666666666667,0.833333333333333,0.75,0.666666666666667,NA,0.615384615384615,0.75,0.444444444444444,NA,0.72,0.692307692307692,0.333333333333333,NA,0.461538461538462,NA,1,0.818181818181818,0.666666666666667
"chr21_5310001_5320000",0.653846153846154,0.285714285714286,1,NA,0.692307692307692,0.590909090909091,0.5,NA,NA,0.7,0.785714285714286,0.571428571428571,NA,0.692307692307692,0.666666666666667,0.25,NA,0.6,0.666666666666667,NA,0.9,NA
"chr21_5315001_5325000",0.461538461538462,0.333333333333333,NA,0.6,0.857142857142857,0.523809523809524,0.5,0.25,NA,NA,0.375,NA,0.666666666666667,0.625,NA,0,NA,0.5,NA,NA,0.666666666666667,0.333333333333333
"chr21_5320001_5330000",0.6,NA,NA,0.6,1,0.6,NA,0.285714285714286,NA,0.666666666666667,0.25,NA,0.666666666666667,0.75,NA,0,0.8,0.666666666666667,NA,NA,0.666666666666667,0.25
"chr21_5325001_5335000",0.8,0.7,1,NA,1,NA,NA,0.4,NA,0.714285714285714,NA,NA,0.5,NA,NA,0.25,0.8,NA,NA,NA,NA,0.875
"chr21_5330001_5340000",1,0.642857142857143,1,NA,NA,NA,NA,0.333333333333333,NA,0.75,NA,NA,0.5,NA,NA,0.5,NA,NA,NA,NA,NA,0.9
"chr21_5335001_5345000",0.4,0.4,NA,NA,1,0.142857142857143,NA,NA,NA,NA,0.285714285714286,NA,NA,0.333333333333333,0.75,0.75,NA,NA,NA,NA,NA,0.833333333333333
"chr21_5340001_5350000",0.555555555555556,NA,NA,NA,0.75,0.4,NA,NA,0.8,NA,0.285714285714286,1,NA,0.4,0.833333333333333,NA,NA,NA,0.75,NA,NA,1
"chr21_5345001_5355000",0.75,NA,NA,NA,NA,0.625,NA,NA,0.666666666666667,NA,NA,0.888888888888889,NA,0.384615384615385,0.75,NA,NA,0.5,0.833333333333333,0.25,NA,1
"chr21_5350001_5360000",0,0.702702702702703,NA,NA,NA,0.619047619047619,NA,NA,NA,0.2,0,NA,NA,0.25,NA,0.666666666666667,NA,0.5,0.8,0.25,NA,1
"chr21_5355001_5365000",0.25,0.631578947368421,NA,NA,0.5,0.681818181818182,NA,NA,NA,0.166666666666667,0.25,NA,NA,0.375,NA,0.8,NA,NA,NA,NA,NA,NA
"chr21_5360001_5370000",NA,0.25,NA,NA,0.6,0.75,NA,0.8,NA,NA,NA,NA,NA,0.333333333333333,0.5,0.666666666666667,NA,NA,NA,NA,NA,NA
"chr21_5365001_5375000",0.444444444444444,0.4,1,NA,0.857142857142857,0.909090909090909,NA,0.5,NA,NA,0.8,0.333333333333333,NA,0.692307692307692,0.714285714285714,0.666666666666667,0.4,0.4375,NA,NA,0.333333333333333,0.333333333333333
"chr21_5370001_5380000",0.583333333333333,0.5,0.8,NA,0.6,0.928571428571429,NA,0,NA,0,0.636363636363636,0.333333333333333,NA,0.785714285714286,1,0.75,0.4,0.4375,0,NA,0.333333333333333,0.333333333333333
"chr21_5375001_5385000",0.4,1,0.666666666666667,NA,NA,1,NA,NA,NA,NA,0.444444444444444,0.75,NA,0.7,0.2,0.333333333333333,NA,NA,0,1,NA,NA
"chr21_5380001_5390000",0.230769230769231,NA,NA,NA,NA,0.857142857142857,NA,NA,NA,0.333333333333333,0.666666666666667,0.8,NA,0.6,0.125,NA,NA,NA,NA,1,NA,NA
"chr21_5385001_5395000",NA,0.333333333333333,NA,NA,NA,0.333333333333333,0.333333333333333,NA,NA,NA,NA,NA,NA,0.625,0.25,NA,NA,NA,NA,NA,NA,NA
"chr21_5970001_5980000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"chr21_5975001_5985000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"chr21_6005001_6015000",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chr21_6010001_6020000",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chr21_6020001_6030000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"chr21_6025001_6035000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA
"chr21_6030001_6040000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,0.9,NA,NA
"chr21_6035001_6045000",NA,NA,NA,NA,NA,NA,NA,NA,0.666666666666667,NA,NA,NA,NA,NA,0.857142857142857,NA,NA,NA,NA,0.666666666666667,NA,NA
"chr21_6040001_6050000",NA,NA,NA,NA,NA,NA,NA,NA,0.666666666666667,NA,NA,NA,NA,NA,0.75,NA,NA,NA,NA,NA,NA,NA
"chr21_6055001_6065000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"chr21_6060001_6070000",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"chr21_6065001_6075000",1,0.666666666666667,0.5,NA,NA,1,NA,NA,NA,NA,1,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chr21_6070001_6080000",NA,0.75,0.5,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0.6,NA,NA,NA,NA
"chr21_6075001_6085000",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0.8,NA,NA,NA,0.6,NA,NA,NA,NA
"chr21_6080001_6090000",NA,0.916666666666667,1,NA,NA,NA,NA,NA,0.583333333333333,1,NA,NA,NA,0.947368421052632,NA,1,NA,NA,NA,NA,NA,NA
"chr21_6085001_6095000",NA,0.916666666666667,1,NA,NA,0.916666666666667,NA,NA,0.583333333333333,1,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA
"chr21_6090001_6100000",1,NA,NA,1,0.666666666666667,0.916666666666667,NA,NA,0.142857142857143,1,NA,0.166666666666667,NA,NA,NA,1,1,NA,NA,NA,1,0.833333333333333
"chr21_6095001_6105000",1,NA,1,1,0.666666666666667,NA,NA,NA,0.142857142857143,NA,1,0.166666666666667,NA,1,NA,1,1,NA,NA,NA,1,0.833333333333333
"chr21_6100001_6110000",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0.714285714285714,0.875,NA,1,1,0.476190476190476,1,1,1,NA,0.833333333333333,NA
"chr21_6105001_6115000",NA,0.25,NA,NA,NA,NA,NA,NA,1,0.75,0.285714285714286,0.875,NA,NA,1,0.35,NA,1,1,NA,0,NA
"chr21_6110001_6120000",NA,0.25,NA,NA,NA,NA,NA,NA,1,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"chr21_6115001_6125000",NA,NA,NA,NA,NA,NA,0.833333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0.4
"chr21_6120001_6130000",NA,0.833333333333333,NA,NA,NA,1,0.925,NA,NA,NA,0.857142857142857,0.846153846153846,0.181818181818182,NA,NA,NA,NA,NA,1,1,1,0.4
"chr21_6125001_6135000",NA,0.857142857142857,0.777777777777778,NA,NA,1,0.941176470588235,NA,1,0.666666666666667,0.857142857142857,0.904761904761905,0.357142857142857,0.818181818181818,NA,NA,NA,NA,1,1,1,NA
"chr21_6130001_6140000",NA,NA,0.857142857142857,NA,NA,NA,NA,NA,NA,0.666666666666667,NA,1,1,0.9,NA,NA,NA,NA,NA,NA,NA,NA
"chr21_6150001_6160000",NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"chr21_6155001_6165000",NA,1,NA,NA,1,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"chr21_6160001_6170000",NA,NA,NA,NA,1,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chr21_6355001_6365000",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chr21_6360001_6370000",0.285714285714286,NA,0.333333333333333,0.428571428571429,0.25,NA,NA,NA,0.25,0.75,0.2,0,NA,0.25,0.333333333333333,NA,NA,NA,NA,0.75,NA,0
"chr21_6365001_6375000",0.333333333333333,0.222222222222222,0.176470588235294,0.230769230769231,0.566666666666667,0.2,0.233333333333333,0.3,0.4,0.4,0.133333333333333,0.1,NA,0.1875,0.333333333333333,0.272727272727273,0.0833333333333333,0.444444444444444,0.227272727272727,0.541666666666667,0.133333333333333,0.230769230769231
"chr21_6370001_6380000",0.696969696969697,0.636363636363636,0.76,0.714285714285714,0.692307692307692,0.615384615384615,0.305555555555556,0.55,0.861111111111111,0.7,0.3,0.464285714285714,0.818181818181818,0.5,0.666666666666667,0.294117647058824,0.434782608695652,0.578947368421053,0.260869565217391,0.461538461538462,0.176470588235294,0.791666666666667
"chr21_6375001_6385000",0.826086956521739,0.923076923076923,0.894736842105263,1,0.857142857142857,0.875,0.714285714285714,0.777777777777778,0.96551724137931,0.916666666666667,NA,0.666666666666667,0.818181818181818,0.833333333333333,1,0.5,0.666666666666667,1,NA,0.421052631578947,NA,0.941176470588235
"chr21_6420001_6430000",NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
"chr21_6425001_6435000",NA,NA,NA,0.888888888888889,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
"chr21_6430001_6440000",NA,NA,NA,0.935483870967742,0.909090909090909,NA,0.142857142857143,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0.928571428571429,0.8,1,NA
"chr21_6435001_6445000",NA,NA,NA,0.933333333333333,0.888888888888889,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.888888888888889,1,1,NA
"chr21_6450001_6460000",1,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
"chr21_6455001_6465000",1,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
"chr21_6460001_6470000",NA,NA,NA,0.0526315789473684,NA,NA,NA,NA,NA,0.666666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chr21_6465001_6475000",NA,NA,1,0.0526315789473684,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA
"chr21_6470001_6480000",1,NA,1,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA
"chr21_6475001_6485000",1,NA,1,1,1,1,0.833333333333333,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"chr21_6480001_6490000",NA,NA,NA,NA,NA,NA,0.888888888888889,NA,NA,NA,0.75,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"chr21_6485001_6495000",NA,NA,NA,NA,NA,NA,0.916666666666667,NA,NA,NA,0.75,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"chr21_6500001_6510000",NA,NA,0.833333333333333,NA,1,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,0.833333333333333,1,NA,NA,NA,0.75
"chr21_6505001_6515000",NA,NA,0.833333333333333,NA,1,NA,1,NA,NA,1,NA,NA,1,1,NA,NA,0.833333333333333,1,NA,NA,NA,0.75
"chr21_6510001_6520000",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA
"chr21_6515001_6525000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA
"chr21_6525001_6535000",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0.3,0.75,NA,NA,NA
"chr21_6530001_6540000",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0.3,0.75,NA,NA,NA
"chr21_6535001_6545000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0.666666666666667,NA,NA
"chr21_6540001_6550000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0.666666666666667,NA,NA
"chr21_6545001_6555000",NA,NA,NA,NA,NA,NA,NA,NA,0.666666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chr21_6550001_6560000",NA,NA,NA,NA,NA,NA,NA,NA,0.857142857142857,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0.2,NA
"chr21_6555001_6565000",NA,NA,NA,0.7,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,0.6,0.2,NA
"chr21_6560001_6570000",NA,NA,0.625,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.818181818181818,NA,NA,NA,0.6,NA,0.166666666666667
"chr21_6565001_6575000",NA,NA,0.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA,NA,NA,NA,NA,0.166666666666667
"chr21_6785001_6795000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.666666666666667,NA,NA,NA,NA,NA
"chr21_6790001_6800000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.909090909090909,NA,NA,NA,NA,NA
"chr21_6795001_6805000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"chr21_6800001_6810000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chr21_6840001_6850000",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0.75,NA,NA,NA,NA,NA,NA
"chr21_6845001_6855000",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,0.75,NA,NA,NA,NA,NA,NA
"chr21_6850001_6860000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"chr21_6860001_6870000",0.8,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chr21_6865001_6875000",0.8,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chr21_6875001_6885000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA
"chr21_6880001_6890000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA
"chr21_6885001_6895000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"chr21_6890001_6900000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.88,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"chr21_6895001_6905000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.884615384615385,NA,NA,NA,0,NA,1,NA,NA,NA,NA
"chr21_6900001_6910000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"chr21_6905001_6915000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chr21_6910001_6920000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0.714285714285714,NA,NA,NA,NA
"chr21_6915001_6925000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0.714285714285714,NA,NA,NA,NA
"chr21_6920001_6930000",NA,NA,NA,0.769230769230769,NA,NA,NA,NA,1,0.875,NA,1,1,NA,NA,NA,NA,NA,0.714285714285714,1,NA,NA
"chr21_6925001_6935000",NA,NA,0.5,0.733333333333333,0.666666666666667,NA,NA,NA,1,0.875,NA,1,NA,NA,NA,NA,NA,NA,0.75,1,NA,NA
